date;prediction
2024-01-01;3.054966666666667
2024-01-02;3.764833333333333
2024-01-03;3.452301190476191
2024-01-04;3.822530952380952
2024-01-05;3.64845
2024-01-06;2.2167000000000003
2024-01-07;1.5704666666666662
2024-01-08;1.2640158730158728
2024-01-09;3.855866666666667
2024-01-10;3.2307619047619043
2024-01-11;1.9638714285714287
2024-01-12;4.354333333333334
2024-01-13;8.643
2024-01-14;3.569
2024-01-15;3.8
2024-01-16;1.8267666666666664
2024-01-17;3.11275
2024-01-18;2.397901190476191
2024-01-19;2.7937888888888884
2024-01-20;2.11825
2024-01-21;4.842616666666666
2024-01-22;5.719633333333334
2024-01-23;5.109916666666667
2024-01-24;4.401
2024-01-25;5.695
2024-01-26;2.656042857142857
2024-01-27;2.752
2024-01-28;2.22375
2024-01-29;3.169
2024-01-30;2.8956166666666667
2024-01-31;2.633409523809523
2024-02-01;3.054966666666667
2024-02-02;4.529666666666667
2024-02-03;3.38725
2024-02-04;2.536166666666667
2024-02-05;3.55275
2024-02-06;2.4821452380952382
2024-02-07;1.5704666666666662
2024-02-08;2.8051619047619045
2024-02-09;0.8760380952380954
2024-02-10;2.3599428571428587
2024-02-11;2.743901587301588
2024-02-12;3.208852380952381
2024-02-13;2.978557142857144
2024-02-14;2.74118253968254
2024-02-15;2.9573611111111098
2024-02-16;3.057483333333332
2024-02-17;1.1225039682539677
2024-02-18;1.9730111111111115
2024-02-19;1.5128079365079352
2024-02-20;0.9894041125541128
2024-02-21;0.2627825757575757
2024-02-22;1.900120276945277
2024-02-23;1.5200927849927852
2024-02-24;1.9544976190476184
2024-02-25;2.771866919191914
2024-02-26;0.8260000000000001
2024-02-27;2.752
2024-02-28;3.203
2024-03-01;3.238554761904762
2024-03-02;2.595803571428572
2024-03-03;2.0060708874458872
2024-03-04;0.676138888888889
2024-03-05;2.5624880952380944
2024-03-06;0.9232095238095236
2024-03-07;1.4819833333333334
2024-03-08;1.2640158730158728
2024-03-09;1.9305714285714288
2024-03-10;2.235941269841268
2024-03-11;1.3503
2024-03-12;2.201207142857143
2024-03-13;2.742455158730161
2024-03-14;2.6766257936507936
2024-03-15;2.663201406926406
2024-03-16;2.779215873015873
2024-03-17;1.8360194444444444
2024-03-18;1.8635714285714284
2024-03-19;2.3660428571428573
2024-03-20;1.1690190476190478
2024-03-21;1.3693202380952378
2024-03-22;1.0153214285714287
2024-03-23;1.1941266511266504
2024-03-24;0.6732312409812405
2024-03-25;0.4959349206349204
2024-03-26;1.5092142857142856
2024-03-27;1.5630246031746036
2024-03-28;2.8176738095238094
2024-03-29;3.601833333333333
2024-03-30;1.806452380952381
2024-03-31;2.2552666666666665
2024-04-01;3.685219047619046
2024-04-02;2.595803571428572
2024-04-03;1.9459369047619048
2024-04-04;2.4392547619047624
2024-04-05;1.0993880952380952
2024-04-06;1.8915976190476196
2024-04-07;1.6642759046509048
2024-04-08;2.214638095238095
2024-04-09;1.6310709235209253
2024-04-10;1.882755952380953
2024-04-11;2.5756603174603163
